date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:32:12	1449/1449	---MCZ	404	error ('Not%20Found')	text/html	etag:1617825796-ssl-df	https://gestion-de-reservas.netlify.app/robots.txt		(from )
23:32:12	801/801	---M--	200	added ('OK')	text/html	etag:%22bf3b83e5e51c5cc86168353911f741a9-ssl%22	https://gestion-de-reservas.netlify.app/	C:/My%20Web%20Sites/gestionreservas/gestion-de-reservas.netlify.app/index.html	(from )
23:32:12	1464/1464	---M-Z	200	added ('OK')	text/css	etag:%22d2549374cdbb15b3dc676319daf3be93-ssl-df%22	https://gestion-de-reservas.netlify.app/inicio.css	C:/My%20Web%20Sites/gestionreservas/gestion-de-reservas.netlify.app/inicio.css	(from https://gestion-de-reservas.netlify.app/)
23:32:13	801/801	---M--	200	added ('OK')	text/html	etag:%22bf3b83e5e51c5cc86168353911f741a9-ssl%22	https://gestion-de-reservas.netlify.app/index.html	C:/My%20Web%20Sites/gestionreservas/gestion-de-reservas.netlify.app/index-2.html	(from https://gestion-de-reservas.netlify.app/)
23:32:14	4712/4712	---MCZ	200	added ('OK')	text/html	etag:%2275f5b81cbc61ef964e4d35c6e9231991-ssl-df%22	https://gestion-de-reservas.netlify.app/registro/crearcuenta.html	C:/My%20Web%20Sites/gestionreservas/gestion-de-reservas.netlify.app/registro/crearcuenta.html	(from https://gestion-de-reservas.netlify.app/)
23:32:14	654/654	---M--	301	error ('Moved%20Permanently')	text/html	etag:%227500e797d358801d470adc411024d10d-ssl-df%22	https://gestion-de-reservas.netlify.app/login/Iniciarsesion.html	C:/My%20Web%20Sites/gestionreservas/gestion-de-reservas.netlify.app/login/Iniciarsesion.3.delayed	(from https://gestion-de-reservas.netlify.app/)
23:32:15	1741/1741	---MCZ	200	added ('OK')	text/html	etag:%227500e797d358801d470adc411024d10d-ssl-df%22	https://gestion-de-reservas.netlify.app/login/iniciarsesion	C:/My%20Web%20Sites/gestionreservas/gestion-de-reservas.netlify.app/login/iniciarsesion.html	(from https://gestion-de-reservas.netlify.app/)
23:32:16	92343/92343	---M--	200	added ('OK')	image/jpeg	etag:%22caceb663b3c0e35bc1548ffd2bd76511-ssl%22	https://gestion-de-reservas.netlify.app/doctores.jpg	C:/My%20Web%20Sites/gestionreservas/gestion-de-reservas.netlify.app/doctores.jpg	(from https://gestion-de-reservas.netlify.app/inicio.css)
23:32:16	1297/1297	---M-Z	200	added ('OK')	text/css	etag:%22d6d48b7566654c1d3472b9614c7e7c63-ssl-df%22	https://gestion-de-reservas.netlify.app/registro/registro.css	C:/My%20Web%20Sites/gestionreservas/gestion-de-reservas.netlify.app/registro/registro.css	(from https://gestion-de-reservas.netlify.app/registro/crearcuenta.html)
23:32:17	11623/11623	---MCZ	200	added ('OK')	application/javascript	etag:%222c66d54f27e3e41f4926681b57456aa2-ssl-df%22	https://gestion-de-reservas.netlify.app/registro/registro.js	C:/My%20Web%20Sites/gestionreservas/gestion-de-reservas.netlify.app/registro/registro.js	(from https://gestion-de-reservas.netlify.app/registro/crearcuenta.html)
23:32:17	62/62	---MCZ	302	error ('Found')	text/plain	date:Tue,%2014%20Jun%202022%2002:32:17%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	C:/My%20Web%20Sites/gestionreservas/unpkg.com/sweetalert/dist/sweetalert.min.8.delayed	(from https://gestion-de-reservas.netlify.app/registro/crearcuenta.html)
23:32:17	40808/40808	---MCZ	200	added ('OK')	application/javascript	etag:%229f68-Kj2qvHAjLGNQq0jTJgXcSmrB8fo%22	https://unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	C:/My%20Web%20Sites/gestionreservas/unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	(from https://gestion-de-reservas.netlify.app/registro/crearcuenta.html)
23:32:18	1491/1491	---M-Z	200	added ('OK')	text/css	etag:%22f92db0bcfa51dfb7d3f29a7b8af1863d-ssl-df%22	https://gestion-de-reservas.netlify.app/login/iniciarsesion.css	C:/My%20Web%20Sites/gestionreservas/gestion-de-reservas.netlify.app/login/iniciarsesion.css	(from https://gestion-de-reservas.netlify.app/login/iniciarsesion)
23:32:18	3991/3991	---MCZ	200	added ('OK')	application/javascript	etag:%22439518c182ea67c629361edd9b1e8ecf-ssl-df%22	https://gestion-de-reservas.netlify.app/login/iniciarsesion.js	C:/My%20Web%20Sites/gestionreservas/gestion-de-reservas.netlify.app/login/iniciarsesion.js	(from https://gestion-de-reservas.netlify.app/login/iniciarsesion)
